video_id,cohort_id,views_6h,likes_6h,comments_6h,views_24h,likes_24h,comments_24h,views_log,likes_log,comments_log,viral_score,viral
ppFBhivpaGE,cohort1,290941,848,0,1012907,2093,0,13.828335959758023,7.646831391430482,0.0,10.59105099328396,1
VrBgkDnksDI,cohort1,269015,1427,1,369596,1890,2,12.820168501833606,7.544861068658458,1.0986122886681098,10.065420650564512,1
Ef-7oED0mq4,cohort1,113250,7688,232,160733,9284,281,11.987506103709071,9.136155473786806,5.641907070938114,10.497541011455295,1
_Dtsn9DzIbs,cohort1,209431,1692,0,241145,1914,0,12.39315783817315,7.557472901614746,0.0,9.703136573388313,1
G-pTfMOY9QE,cohort1,301055,6669,417,518275,8992,527,13.158263197877046,9.104201775914516,6.269096283706261,11.253128079871209,1
71-KRdBGlsI,cohort1,406906,11978,42,1043038,20774,60,13.857649125421904,9.94150561972365,4.110873864173311,11.708128547587567,1
gIZoO48ePNs,cohort1,129854,692,1,264585,1266,1,12.485921619210297,7.144407180321139,0.6931471805599453,9.704189843678511,1
9Z6s2IeafHM,cohort1,61037,351,1,72691,419,1,11.193986616201151,6.040254711277414,0.6931471805599453,8.597783101159909,1
Q3ggtN1Y-OM,cohort1,199903,621,1,246732,756,1,12.41606205927895,6.6293632534374485,0.6931471805599453,9.507760929654598,1
aJWuMnhx294,cohort1,99653,612,2,133206,764,2,11.79965958826014,6.639875833826536,1.0986122886681098,9.181619731970853,1
GH0WPFOB4Jg,cohort1,152920,1153,1,228207,1628,2,12.338012772763204,7.395721608602045,1.0986122886681098,9.731385375105345,1
-dUURnwXGpQ,cohort1,31569,1221,41,86098,2432,67,11.363253075946515,7.796880342783522,4.219507705176107,9.578966718920576,1
8RsnBgq3ClM,cohort1,35891,316,2,37489,334,2,10.531829509729958,5.814130531825066,1.0986122886681098,8.173198094252305,1
7CdV10Ezbec,cohort1,75454,962,3,177967,1789,10,12.08935903783181,7.489970898834801,2.3978952727983707,9.740396219629364,1
vyqf_fSfM14,cohort1,167556,2692,8,366256,4468,10,12.811090551758756,8.404919948933452,2.3978952727983707,10.447919843015127,1
