video_id,views,likes,comments,tracked_at
7oBKFVItzsU,647256,0,2,2026-04-22 12:09:55.378129
ppFBhivpaGE,290941,848,0,2026-04-22 12:09:55.378147
VrBgkDnksDI,269015,1427,1,2026-04-22 12:09:55.378153
Ef-7oED0mq4,113250,7688,232,2026-04-22 12:09:55.378157
7EmZyk8MLNQ,229816,0,2,2026-04-22 12:09:55.378161
_Dtsn9DzIbs,209431,1692,0,2026-04-22 12:09:55.378165
G-pTfMOY9QE,90919,3396,241,2026-04-22 12:09:55.378169
4XAK7-VZX6Q,316380,0,4,2026-04-22 12:09:55.378172
rvMbdIJnM1I,190938,0,2,2026-04-22 12:09:55.378176
LMSKC7drnMA,97181,0,1,2026-04-22 12:09:55.378179
71-KRdBGlsI,61600,5719,20,2026-04-22 12:09:55.378182
gIZoO48ePNs,129854,692,1,2026-04-22 12:09:55.378186
9Z6s2IeafHM,61037,351,1,2026-04-22 12:09:55.378189
Z4ufGu70hYk,44541,0,0,2026-04-22 12:09:55.378192
Q3ggtN1Y-OM,199903,621,1,2026-04-22 12:09:55.378195
aJWuMnhx294,99653,612,2,2026-04-22 12:09:55.378198
GH0WPFOB4Jg,152920,1153,1,2026-04-22 12:09:55.378202
-dUURnwXGpQ,31569,1221,41,2026-04-22 12:09:55.378205
4zsaw5a2LlE,326494,0,0,2026-04-22 12:09:55.378209
8RsnBgq3ClM,35891,316,2,2026-04-22 12:09:55.378212
7CdV10Ezbec,75454,962,3,2026-04-22 12:09:55.378216
vyqf_fSfM14,167556,2692,8,2026-04-22 12:09:55.378219
CrPcSO3Ksqc,36953,0,0,2026-04-22 12:09:55.378222
kCTZ0o7MS3M,30849,0,2,2026-04-22 12:09:55.378225
c8ksB0mVzPU,425525,21249,363,2026-04-22 12:09:55.378228
y5-pCtvyeU0,37298,0,0,2026-04-22 12:09:55.378231
kxOtnzuYHo0,36206,155,0,2026-04-22 12:09:55.378235
ODYlII65Ezg,34924,213,1,2026-04-22 12:09:55.378238
tI67adV3pXY,32097,287,0,2026-04-22 12:09:55.378241
JbiHS32r48w,108007,0,1,2026-04-22 12:09:55.378244
qCPUL-n2zEM,27046,0,1,2026-04-22 12:09:55.378247
GB92jfG0Aww,22917,581,28,2026-04-22 12:09:55.378250
Bl66lNBD-U4,20548,335,1,2026-04-22 12:09:55.378253
MKvmhS2WElo,25919,0,2,2026-04-22 12:09:55.378256
jaIQWlDTLUY,125988,2415,3,2026-04-22 12:09:55.378260
iVnxwkHDD3Q,22458,566,28,2026-04-22 12:09:55.378263
n22uDbchZYs,36324,152,0,2026-04-22 12:09:55.378266
LEIgQtVwJGk,28153,640,4,2026-04-22 12:09:55.378269
6vaEALEbKmo,33497,164,1,2026-04-22 12:09:55.378272
fAwjFITVLzs,36013,0,1,2026-04-22 12:09:55.378275
hB6WnL80HNI,19521,772,11,2026-04-22 12:09:55.378278
2A4C6Dpiod4,52880,199,1,2026-04-22 12:09:55.378282
ncSecGdH7rg,39050,941,5,2026-04-22 12:09:55.378285
dVXQazWGqVQ,33419,193,0,2026-04-22 12:09:55.378288
DF9WGou4ffA,23272,0,1,2026-04-22 12:09:55.378291
GElOK8JXlXI,30508,504,6,2026-04-22 12:09:55.378294
-tccKyTazdw,23296,125,0,2026-04-22 12:09:55.378297
GVir39PsE6g,22550,79,1,2026-04-22 12:09:55.378301
jPyMJ5W-AOE,33019,0,3,2026-04-22 12:09:55.378304
9PjbZzKVdZw,28138,179,0,2026-04-22 12:09:55.378307
7oBKFVItzsU,653398,0,2,2026-04-22 14:12:10.884113
ppFBhivpaGE,412714,1031,0,2026-04-22 14:12:10.884124
VrBgkDnksDI,296640,1519,1,2026-04-22 14:12:10.884128
Ef-7oED0mq4,130620,8353,254,2026-04-22 14:12:10.884130
7EmZyk8MLNQ,252356,0,2,2026-04-22 14:12:10.884132
_Dtsn9DzIbs,222857,1733,0,2026-04-22 14:12:10.884134
G-pTfMOY9QE,197157,5036,345,2026-04-22 14:12:10.884136
4XAK7-VZX6Q,367392,0,4,2026-04-22 14:12:10.884137
rvMbdIJnM1I,200393,0,2,2026-04-22 14:12:10.884139
LMSKC7drnMA,103679,0,1,2026-04-22 14:12:10.884141
71-KRdBGlsI,249217,8354,29,2026-04-22 14:12:10.884142
gIZoO48ePNs,168534,803,1,2026-04-22 14:12:10.884144
9Z6s2IeafHM,64500,368,1,2026-04-22 14:12:10.884146
Z4ufGu70hYk,48500,0,1,2026-04-22 14:12:10.884147
Q3ggtN1Y-OM,211039,662,1,2026-04-22 14:12:10.884149
aJWuMnhx294,107170,654,2,2026-04-22 14:12:10.884151
GH0WPFOB4Jg,169173,1265,1,2026-04-22 14:12:10.884152
-dUURnwXGpQ,39162,1373,43,2026-04-22 14:12:10.884154
4zsaw5a2LlE,349873,0,0,2026-04-22 14:12:10.884156
8RsnBgq3ClM,36286,319,2,2026-04-22 14:12:10.884158
7CdV10Ezbec,92964,1222,3,2026-04-22 14:12:10.884160
vyqf_fSfM14,209035,2978,9,2026-04-22 14:12:10.884161
CrPcSO3Ksqc,39350,0,0,2026-04-22 14:12:10.884163
kCTZ0o7MS3M,31628,0,2,2026-04-22 14:12:10.884164
c8ksB0mVzPU,530510,23829,386,2026-04-22 14:12:10.884166
y5-pCtvyeU0,41016,0,1,2026-04-22 14:12:10.884168
kxOtnzuYHo0,37032,166,0,2026-04-22 14:12:10.884169
ODYlII65Ezg,36675,213,1,2026-04-22 14:12:10.884171
tI67adV3pXY,32263,290,0,2026-04-22 14:12:10.884173
JbiHS32r48w,118108,0,1,2026-04-22 14:12:10.884174
qCPUL-n2zEM,28675,0,1,2026-04-22 14:12:10.884176
GB92jfG0Aww,30801,647,39,2026-04-22 14:12:10.884177
Bl66lNBD-U4,24818,357,1,2026-04-22 14:12:10.884179
MKvmhS2WElo,26804,0,2,2026-04-22 14:12:10.884181
jaIQWlDTLUY,153450,2720,3,2026-04-22 14:12:10.884183
iVnxwkHDD3Q,28147,640,28,2026-04-22 14:12:10.884184
n22uDbchZYs,37034,153,0,2026-04-22 14:12:10.884186
LEIgQtVwJGk,31009,654,4,2026-04-22 14:12:10.884187
6vaEALEbKmo,34062,167,1,2026-04-22 14:12:10.884189
fAwjFITVLzs,44096,0,1,2026-04-22 14:12:10.884190
hB6WnL80HNI,20115,776,11,2026-04-22 14:12:10.884192
2A4C6Dpiod4,54019,208,1,2026-04-22 14:12:10.884194
ncSecGdH7rg,46189,1095,7,2026-04-22 14:12:10.884195
dVXQazWGqVQ,45927,380,2,2026-04-22 14:12:10.884197
DF9WGou4ffA,30229,0,1,2026-04-22 14:12:10.884198
GElOK8JXlXI,33769,569,7,2026-04-22 14:12:10.884200
-tccKyTazdw,23488,128,0,2026-04-22 14:12:10.884201
GVir39PsE6g,30608,72,1,2026-04-22 14:12:10.884203
jPyMJ5W-AOE,37660,0,3,2026-04-22 14:12:10.884205
9PjbZzKVdZw,29524,184,0,2026-04-22 14:12:10.884206
7oBKFVItzsU,657212,0,2,2026-04-22 16:26:39.465700
ppFBhivpaGE,493192,1287,0,2026-04-22 16:26:39.465726
VrBgkDnksDI,324689,1615,1,2026-04-22 16:26:39.465731
Ef-7oED0mq4,144148,8793,271,2026-04-22 16:26:39.465736
7EmZyk8MLNQ,273066,0,2,2026-04-22 16:26:39.465740
_Dtsn9DzIbs,228434,1796,0,2026-04-22 16:26:39.465744
G-pTfMOY9QE,301055,6669,417,2026-04-22 16:26:39.465747
4XAK7-VZX6Q,426007,0,4,2026-04-22 16:26:39.465750
rvMbdIJnM1I,212435,0,2,2026-04-22 16:26:39.465753
LMSKC7drnMA,107643,0,1,2026-04-22 16:26:39.465757
71-KRdBGlsI,406906,11978,42,2026-04-22 16:26:39.465760
gIZoO48ePNs,197104,1018,1,2026-04-22 16:26:39.465763
9Z6s2IeafHM,67481,390,1,2026-04-22 16:26:39.465766
Z4ufGu70hYk,52975,0,1,2026-04-22 16:26:39.465769
Q3ggtN1Y-OM,223287,706,1,2026-04-22 16:26:39.465773
aJWuMnhx294,118607,706,2,2026-04-22 16:26:39.465776
GH0WPFOB4Jg,187349,1494,1,2026-04-22 16:26:39.465779
-dUURnwXGpQ,44591,1701,60,2026-04-22 16:26:39.465782
4zsaw5a2LlE,384435,0,0,2026-04-22 16:26:39.465786
8RsnBgq3ClM,36635,326,2,2026-04-22 16:26:39.465789
7CdV10Ezbec,127865,1647,10,2026-04-22 16:26:39.465792
vyqf_fSfM14,239374,3441,10,2026-04-22 16:26:39.465795
CrPcSO3Ksqc,41406,0,0,2026-04-22 16:26:39.465798
