video_id,views,likes,comments,tracked_at,cohort_id
w8znJO6mWXc,213439,1964,4,2026-05-07 04:56:02.368975,cohort2
7YLMkOfd7F0,83137,435,3,2026-05-07 04:56:02.368975,cohort2
11cHbsqnFos,206374,708,7,2026-05-07 04:56:02.368975,cohort2
SqpDw2nNBm0,37905,1085,2,2026-05-07 04:56:02.368975,cohort2
m75AZ0rapz8,66948,2155,43,2026-05-07 04:56:02.368975,cohort2
9OHJuaecqkc,57737,911,18,2026-05-07 04:56:02.368975,cohort2
t6iOhN7P3j0,31203,333,10,2026-05-07 04:56:02.368975,cohort2
kwLUVYZALDs,38269,297,0,2026-05-07 04:56:02.368975,cohort2
nGmwS0r_MrI,40311,91,3,2026-05-07 04:56:02.368975,cohort2
QyyKZYnD7pw,22156,1230,20,2026-05-07 04:56:02.368975,cohort2
Kp3gEkzeNNg,85949,2471,103,2026-05-07 04:56:02.368975,cohort2
DZEfFdbb1SE,9714,554,17,2026-05-07 04:56:02.368975,cohort2
5qsrCRPpxbk,12609,44,24,2026-05-07 04:56:02.368975,cohort2
mt29cU4uI-g,64046,1968,15,2026-05-07 04:56:02.368975,cohort2
fh7vCfaVwno,71818,4619,61,2026-05-07 04:56:02.368975,cohort2
gqK8TggkzfI,18401,24,3,2026-05-07 04:56:02.368975,cohort2
gv9ztxapyL0,19758,34,5,2026-05-07 04:56:02.368975,cohort2
62WigB3G_Pk,21586,24,1,2026-05-07 04:56:02.368975,cohort2
m9UnGE7ykOY,23467,1542,19,2026-05-07 04:56:02.368975,cohort2
XdSG7DA6EOg,10116,46,0,2026-05-07 04:56:02.368975,cohort2
0R28PVc8qh0,39340,3155,183,2026-05-07 04:56:02.368975,cohort2
PfkNba1O6ec,8939,43,0,2026-05-07 04:56:02.368975,cohort2
5JKuVN3L7mc,15562,30,4,2026-05-07 04:56:02.368975,cohort2
8jwQIV2UwbM,15330,38,0,2026-05-07 04:56:02.368975,cohort2
BczMFhe-MLM,20744,863,45,2026-05-07 04:56:02.368975,cohort2
2tp29gpaRWU,29898,135,0,2026-05-07 04:56:02.368975,cohort2
TAlkqlnakh0,12331,44,1,2026-05-07 04:56:02.368975,cohort2
3f6ZNPbl5jk,7787,127,0,2026-05-07 04:56:02.368975,cohort2
OZH7YBNTz4M,13785,87,2,2026-05-07 04:56:02.368975,cohort2
ZysGncmQPeU,8383,15,5,2026-05-07 04:56:02.368975,cohort2
vDXsOkdFqDk,6401,40,2,2026-05-07 04:56:02.368975,cohort2
T9uMCRuDc_k,6895,42,0,2026-05-07 04:56:02.368975,cohort2
